م | رقم صفحة المصدر | رقم الصفحة في الكتاب | القسم/الوحدة | عنوان الدرس/الموضوع | اسم الصورة الأصلي | اسم الصورة الجديد
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1 | 1 |  | Front Matter | Front Cover | صفحة_1.jpg | front001 - Front Cover.jpg
2 | 2 |  | Front Matter | Front Cover Copy | صفحة_2.jpg | front002 - Front Cover Copy.jpg
3 | 3 |  | Front Matter | Title Page - English Course Pupil's Book 3 | صفحة_3.jpg | front003 - Title Page - English Course Pupil's Book 3.jpg
4 | 4 |  | Front Matter | Contents | صفحة_4.jpg | front004 - Contents.jpg
5 | 5 | 1 | Unit 1 - Revision | Presents from London | صفحة_5.jpg | p001 - Presents from London.jpg
6 | 6 | 2 | Unit 1 - Revision | What's my job? | صفحة_6.jpg | p002 - What's my job -.jpg
7 | 7 | 3 | Unit 1 - Revision | The holidays | صفحة_7.jpg | p003 - The holidays.jpg
8 | 8 | 4 | Unit 1 - Revision | A postcard from London | صفحة_8.jpg | p004 - A postcard from London.jpg
9 | 9 | 5 | Unit 2 - Describing: Making plans | What do they look like? | صفحة_9.jpg | p005 - What do they look like -.jpg
10 | 10 | 6 | Unit 2 - Describing: Making plans | Opposites | صفحة_10.jpg | p006 - Opposites.jpg
11 | 11 | 7 | Unit 2 - Describing: Making plans | Describing people | صفحة_11.jpg | p007 - Describing people.jpg
12 | 12 | 8 | Unit 2 - Describing: Making plans | Describing animals | صفحة_12.jpg | p008 - Describing animals.jpg
13 | 13 | 9 | Unit 2 - Describing: Making plans | What's the time? | صفحة_13.jpg | p009 - What's the time -.jpg
14 | 14 | 10 | Unit 2 - Describing: Making plans | Arranging to meet someone | صفحة_14.jpg | p010 - Arranging to meet someone.jpg
15 | 15 | 11 | Unit 2 - Describing: Making plans | Things to do | صفحة_15.jpg | p011 - Things to do.jpg
16 | 16 | 12 | Unit 2 - Describing: Making plans | Planning a garden | صفحة_16.jpg | p012 - Planning a garden.jpg
17 | 17 | 13 | Unit 2 - Describing: Making plans | What are they going to be? | صفحة_17.jpg | p013 - What are they going to be -.jpg
18 | 18 | 14 | Unit 2 - Describing: Making plans | The snake - episode 1 | صفحة_18.jpg | p014 - The snake - episode 1.jpg
19 | 19 | 15 | Unit 2 - Describing: Making plans | Language review 1 | صفحة_19.jpg | p015 - Language review 1.jpg
20 | 20 | 16 | Unit 3 - Other countries | What is the weather like? | صفحة_20.jpg | p016 - What is the weather like -.jpg
21 | 21 | 17 | Unit 3 - Other countries | The months of the year | صفحة_21.jpg | p017 - The months of the year.jpg
22 | 22 | 18 | Unit 3 - Other countries | The weather in Yemen | صفحة_22.jpg | p018 - The weather in Yemen.jpg
23 | 23 | 19 | Unit 3 - Other countries | Dates | صفحة_23.jpg | p019 - Dates.jpg
24 | 24 | 20 | Unit 3 - Other countries | Four countries | صفحة_24.jpg | p020 - Four countries.jpg
25 | 25 | 21 | Unit 3 - Other countries | Four countries | صفحة_25.jpg | p021 - Four countries.jpg
26 | 26 | 22 | Unit 3 - Other countries | Comparing countries | صفحة_26.jpg | p022 - Comparing countries.jpg
27 | 27 | 23 | Unit 3 - Other countries | The world | صفحة_27.jpg | p023 - The world.jpg
28 | 28 | 24 | Unit 3 - Other countries | The snake - episode 2 | صفحة_28.jpg | p024 - The snake - episode 2.jpg
29 | 29 | 25 | Unit 3 - Other countries | Language review 2 | صفحة_29.jpg | p025 - Language review 2.jpg
30 | 30 | 26 | Unit 4 - Visiting Japan | A Japanese pen-friend | صفحة_30.jpg | p026 - A Japanese pen-friend.jpg
31 | 31 | 27 | Unit 4 - Visiting Japan | A letter to Yuki | صفحة_31.jpg | p027 - A letter to Yuki.jpg
32 | 32 | 28 | Unit 4 - Visiting Japan | Travelling by air | صفحة_32.jpg | p028 - Travelling by air.jpg
33 | 33 | 29 | Unit 4 - Visiting Japan | Which one is Yuki? | صفحة_33.jpg | p029 - Which one is Yuki -.jpg
34 | 34 | 30 | Unit 4 - Visiting Japan | Fuad meets Yuki | صفحة_34.jpg | p030 - Fuad meets Yuki.jpg
